Rk,G,Date,,Opp,WL,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,1991-11-01,,PHI,W,110,90,49,91,.538,0,7,.000,12,14,.857,12,47,38,11,5,16,19,,39,86,.453,0,9,.000,12,18,.667,8,35,25,10,5,17,18
2,2,1991-11-02,@,MIL,L,107,109,41,81,.506,1,5,.200,24,25,.960,16,32,15,9,1,14,21,,44,80,.550,5,12,.417,16,19,.842,13,32,22,9,1,18,23
3,3,1991-11-05,,GSW,L,110,118,39,84,.464,2,8,.250,30,42,.714,8,42,29,7,7,18,20,,47,93,.505,4,12,.333,20,29,.690,14,44,28,9,5,18,33
4,4,1991-11-06,@,BOS,W,132,113,50,84,.595,4,6,.667,28,32,.875,9,41,33,7,2,14,23,,47,88,.534,0,1,.000,19,21,.905,7,25,28,9,4,12,23
5,5,1991-11-08,,DAL,W,108,92,42,82,.512,0,0,,24,31,.774,14,42,29,9,1,8,16,,36,86,.419,2,11,.182,18,21,.857,20,43,20,5,2,14,23
6,6,1991-11-09,,ORL,W,107,76,47,90,.522,1,6,.167,12,16,.750,19,57,30,8,7,19,25,,26,79,.329,1,7,.143,23,29,.793,9,30,14,10,1,15,22
7,7,1991-11-12,,DET,W,110,93,42,80,.525,2,6,.333,24,33,.727,15,45,26,7,4,8,27,,35,85,.412,2,8,.250,21,30,.700,20,38,19,4,2,11,24
8,8,1991-11-13,@,CHH,W,117,95,48,96,.500,1,5,.200,20,24,.833,16,51,28,10,9,16,17,,41,92,.446,0,5,.000,13,17,.765,10,39,28,11,1,16,18
9,9,1991-11-15,,MIL,W,114,101,46,79,.582,1,3,.333,21,35,.600,12,41,30,10,5,15,25,,36,79,.456,7,13,.538,22,29,.759,9,27,23,13,2,18,29
10,10,1991-11-20,@,GSW,W,112,108,42,81,.519,1,6,.167,27,40,.675,11,47,26,9,8,13,25,,42,93,.452,4,16,.250,20,32,.625,14,40,16,8,5,12,27
