Rk,G,Date,Unnamed: 3,Opp,WL,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2,2,1991-11-02,@,MIL,L,107,109,41,81,0.506,1,5,0.2,24,25,0.96,16,32,15,9,1,14,21,,44,80,0.55,5,12,0.41700000000000004,16,19,0.8420000000000001,13,32,22,9,1,18,23
8,8,1991-11-13,@,CHH,W,117,95,48,96,0.5,1,5,0.2,20,24,0.833,16,51,28,10,9,16,17,,41,92,0.446,0,5,0.0,13,17,0.765,10,39,28,11,1,16,18
11,11,1991-11-22,@,SEA,W,112,109,40,83,0.48200000000000004,1,6,0.16699999999999998,31,34,0.912,8,36,18,12,5,13,24,,39,86,0.45299999999999996,1,5,0.2,30,35,0.857,16,46,21,9,2,20,19
21,21,1991-12-14,@,WSB,W,113,100,43,86,0.5,0,2,0.0,27,38,0.711,15,46,15,6,6,14,30,,35,81,0.43200000000000005,1,7,0.14300000000000002,29,47,0.617,11,39,16,9,6,14,29
26,26,1991-12-26,@,ATL,W,122,111,49,85,0.5760000000000001,2,5,0.4,22,28,0.7859999999999999,15,47,29,10,9,17,14,,48,97,0.495,3,8,0.375,12,14,0.857,15,35,30,13,4,13,22
40,40,1992-01-22,@,CHH,W,115,112,43,83,0.518,1,6,0.16699999999999998,28,35,0.8,14,46,26,4,6,17,19,,46,87,0.529,1,3,0.33299999999999996,19,26,0.731,5,26,26,11,2,10,24
43,43,1992-01-28,@,SAS,L,104,109,42,96,0.43799999999999994,2,6,0.33299999999999996,18,23,0.7829999999999999,14,45,19,9,11,9,23,,44,92,0.478,1,8,0.125,20,26,0.769,16,52,24,4,12,14,23
44,44,1992-01-30,@,HOU,L,102,105,43,95,0.45299999999999996,2,5,0.4,14,21,0.667,20,43,22,6,2,7,17,,43,80,0.5379999999999999,5,9,0.556,14,24,0.583,13,45,25,6,11,14,18
47,47,1992-02-03,@,UTA,L,123,126,47,112,0.42,3,4,0.75,26,36,0.722,21,61,24,8,5,15,32,,40,98,0.408,5,13,0.385,41,46,0.8909999999999999,13,57,28,11,10,21,29
48,48,1992-02-05,@,PHO,L,114,126,48,101,0.475,4,10,0.4,14,23,0.609,18,45,24,8,6,11,22,,49,82,0.598,3,4,0.75,25,29,0.862,5,39,36,5,5,15,20
51,51,1992-02-15,,NYK,W,99,98,37,79,0.46799999999999997,2,8,0.25,23,29,0.7929999999999999,17,41,21,8,5,11,20,,40,76,0.526,5,7,0.7140000000000001,13,19,0.684,10,36,28,6,4,16,23
56,56,1992-02-25,@,DET,L,106,108,44,90,0.489,2,4,0.5,16,21,0.762,11,35,23,7,5,7,23,,39,79,0.494,5,8,0.625,25,30,0.833,13,46,23,3,8,15,19
58,58,1992-02-28,@,MIL,W,109,105,43,78,0.551,0,2,0.0,23,29,0.7929999999999999,14,39,22,7,10,15,24,,41,81,0.506,6,11,0.545,17,23,0.7390000000000001,10,30,26,8,2,18,24
60,60,1992-03-03,,IND,L,101,103,40,77,0.519,0,4,0.0,21,28,0.75,13,38,24,6,7,17,23,,41,89,0.461,4,15,0.267,17,21,0.81,15,37,27,11,3,15,22
63,63,1992-03-08,@,PHI,W,103,99,34,66,0.515,1,4,0.25,34,46,0.7390000000000001,11,36,20,9,1,11,22,,37,72,0.514,3,7,0.429,22,26,0.846,8,36,25,9,2,13,28
67,67,1992-03-17,@,NJN,W,90,79,36,81,0.444,1,4,0.25,17,26,0.654,16,49,17,7,10,13,18,,30,90,0.33299999999999996,7,18,0.389,12,19,0.632,21,45,17,11,7,15,22
68,68,1992-03-19,@,WSB,W,106,100,40,82,0.488,2,4,0.5,24,31,0.774,15,43,14,4,4,9,16,,41,83,0.494,2,4,0.5,16,20,0.8,7,32,20,7,4,10,25
69,69,1992-03-21,,ORL,L,108,111,39,89,0.43799999999999994,1,4,0.25,29,40,0.725,20,47,22,7,3,12,19,,48,91,0.527,1,5,0.2,14,19,0.737,14,45,24,7,5,9,30
72,72,1992-03-31,@,NYK,W,96,90,37,83,0.446,2,7,0.28600000000000003,20,29,0.69,16,51,15,8,5,8,16,,36,95,0.379,9,21,0.429,9,11,0.818,16,51,28,3,3,11,29
75,75,1992-04-05,@,BOS,L,86,97,36,84,0.429,0,6,0.0,14,20,0.7,15,45,17,8,7,13,20,,39,81,0.48100000000000004,2,5,0.4,17,18,0.9440000000000001,10,38,25,5,5,11,17
77,77,1992-04-10,@,IND,W,108,96,42,79,0.532,2,4,0.5,22,36,0.611,7,46,22,9,4,6,20,,36,80,0.45,5,18,0.278,19,24,0.792,8,42,26,5,4,13,26
80,80,1992-04-14,@,CLE,L,100,115,44,97,0.45399999999999996,3,6,0.5,9,11,0.818,16,39,32,8,9,12,16,,49,86,0.57,2,5,0.4,15,18,0.833,8,42,35,4,5,12,16
