eam,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,,Opp,W/L,Tm,Opp,ORB,TRB,AST,STL,BLK,TOV,,ORB,TRB,AST,STL,BLK,TOV
,,,,,,,,,,,,,,,,,,,
1,1,@,BOS,L,85,92,16,41,16,12,6,20,,22,52,18,10,5,23
2,2,,PHI,W,94,74,16,46,29,15,3,21,,16,44,14,13,5,25
3,3,,SAS,W,87,83,26,60,21,12,9,13,,12,56,23,6,6,23
4,4,,ORL,W,94,81,16,45,27,3,3,11,,12,38,9,6,4,11
5,5,@,ATL,L,78,80,6,36,19,8,2,12,,14,47,13,9,8,14
6,6,,NJN,W,99,86,17,48,30,11,3,19,,9,27,16,13,1,15
7,7,@,CLE,L,80,101,19,46,22,7,0,18,,8,38,24,12,4,15
8,8,,WAS,L,83,90,17,46,19,9,5,15,,13,42,17,5,4,14
9,9,,CHH,W,105,92,16,45,23,6,4,10,,12,41,26,5,1,12
10,10,,CLE,W,79,70,16,44,20,12,5,16,,19,49,14,9,1,24
11,11,@,PHO,L,85,89,16,36,22,9,2,17,,10,31,20,7,3,17
12,12,@,LAC,W,111,102,12,57,22,2,6,16,,11,42,14,6,10,11
13,13,@,SAC,W,103,88,18,44,23,13,6,10,,19,47,19,6,4,19
14,14,@,SEA,L,90,91,13,42,24,9,6,8,,11,37,24,5,10,12
15,15,@,IND,L,83,94,11,39,17,7,4,6,,17,52,20,4,3,11
16,16,@,WAS,W,88,83,13,52,15,5,1,18,,12,43,24,10,1,11
17,17,@,BOS,W,97,87,14,50,25,10,5,24,,21,44,14,15,3,15
18,18,,MIL,W,84,62,23,56,26,11,2,7,,10,42,12,3,4,18
19,19,,NYK,W,100,82,12,43,17,6,5,15,,17,44,16,9,5,17
20,20,@,ORL,L,98,106,15,40,27,6,3,14,,19,44,15,9,6,11
21,21,@,CHH,L,77,79,14,45,19,4,5,19,,9,37,32,14,8,14
22,22,,TOR,W,97,70,22,52,27,12,8,17,,17,40,13,8,6,22
23,23,,PHO,W,111,104,15,53,25,11,7,16,,16,44,19,10,3,19
24,24,,LAL,W,104,83,19,54,31,8,8,13,,18,36,18,9,3,11
25,25,@,NJN,W,100,92,13,47,22,9,4,18,,17,41,15,8,6,14
26,26,,LAC,W,94,89,33,60,19,3,8,10,,14,42,11,5,4,9
27,27,,MIA,W,90,80,17,53,22,8,4,12,,6,34,16,8,4,13
28,28,,ATL,W,97,90,22,54,21,5,5,12,,11,37,14,9,3,7
29,29,,DAL,W,111,105,19,56,24,4,3,13,,11,37,14,8,3,8
30,30,@,MIN,L,95,99,16,40,26,8,4,11,,10,39,25,11,2,15
31,31,,MIL,W,114,100,16,49,27,7,4,21,,8,27,25,11,2,16
32,32,@,DET,W,105,96,12,47,28,4,7,15,,9,32,19,13,5,9
33,33,,BOS,W,90,79,23,51,19,12,2,16,,14,39,23,11,4,17
34,34,@,MIA,L,72,99,17,35,20,8,3,11,,12,39,24,9,3,11
35,35,@,NYK,W,90,89,3,31,18,7,4,11,,6,37,18,1,5,14
36,36,,GSW,W,87,82,17,44,19,8,4,9,,17,49,23,7,3,15
37,37,,SEA,W,101,91,16,48,26,6,3,10,,9,36,13,6,5,10
38,38,@,PHI,L,96,106,20,51,24,8,4,18,,17,39,16,13,9,12
39,39,@,MIL,W,96,86,10,39,19,10,5,15,,10,37,16,10,4,15
40,40,,HOU,W,106,100,7,28,34,11,3,10,,12,35,16,6,3,16
41,41,,CHH,W,110,79,12,45,30,9,2,10,,18,43,20,8,4,19
42,42,@,NJN,W,100,98,9,34,23,11,6,14,,22,54,17,6,2,22
43,43,,UTA,L,94,101,19,43,28,9,3,8,,10,43,23,5,3,15
44,44,@,VAN,W,103,85,16,49,29,11,4,10,,8,38,20,6,4,16
45,45,@,POR,W,100,87,16,47,26,9,4,14,,9,38,24,9,5,15
46,46,@,GSW,W,87,80,27,53,14,14,5,12,,19,49,19,5,5,20
47,47,@,LAL,L,87,112,19,48,23,5,2,15,,16,46,29,10,4,11
48,48,@,DEN,W,111,72,15,55,24,7,8,14,,7,33,14,7,5,16
49,49,@,UTA,L,93,101,11,37,18,11,3,13,,7,34,29,10,7,13
50,50,,TOR,W,93,86,27,56,24,12,2,11,,16,48,16,8,6,22
51,51,@,CHH,W,92,90,10,39,26,5,3,12,,11,38,15,8,6,14
52,52,,ATL,W,112,110,12,39,25,2,5,10,,13,36,19,6,3,11
53,53,,DET,W,99,90,8,44,28,9,3,15,,3,32,22,13,4,15
54,54,,IND,W,105,97,16,42,27,7,4,13,,9,26,22,5,2,12
55,55,@,TOR,W,123,86,22,60,37,7,2,19,,10,35,14,13,12,13
56,56,@,WAS,W,94,88,15,45,20,12,13,12,,17,49,20,9,6,19
57,57,,CLE,W,97,75,12,46,31,10,4,16,,10,36,14,8,2,18
58,58,,POR,L,101,106,15,36,22,14,7,6,,9,41,22,2,1,15
59,59,,SAC,W,109,94,13,44,25,9,6,14,,11,38,27,7,3,15
60,60,,DEN,W,118,90,16,50,30,8,5,14,,14,35,17,8,4,14
61,61,@,NYK,W,102,89,17,48,22,6,2,8,,6,33,24,3,1,12
62,62,,MIA,W,106,91,11,37,30,7,5,12,,13,34,14,6,1,12
63,63,@,DAL,L,97,104,24,62,21,10,4,11,,15,56,20,8,8,17
64,64,@,SAS,W,96,86,15,42,20,8,4,12,,14,34,16,8,7,12
65,65,,NJN,W,88,72,12,47,26,5,3,17,,7,34,19,10,2,14
66,66,@,IND,W,90,84,11,37,13,6,4,11,,11,36,18,6,3,10
67,67,,VAN,W,98,92,5,33,25,6,4,12,,21,43,25,9,2,12
68,68,@,TOR,W,102,100,15,44,28,12,8,13,,21,47,24,7,13,15
69,69,,BOS,W,111,88,19,46,29,11,3,15,,6,27,24,13,2,18
70,70,@,ORL,W,85,70,10,39,28,10,2,13,,16,44,17,6,3,16
71,71,@,ATL,W,89,74,11,37,17,5,3,11,,7,39,17,7,5,14
72,72,@,MIL,W,104,87,14,45,26,11,2,18,,16,42,16,5,4,19
73,73,,DET,W,106,101,12,42,31,9,8,16,,6,33,21,12,2,16
74,74,,MIN,W,107,93,23,47,24,7,3,6,,12,35,26,5,2,12
75,75,@,HOU,W,109,94,10,35,33,14,8,8,,8,40,29,5,5,20
76,76,,WAS,W,103,85,10,49,23,6,4,20,,5,31,22,11,6,13
77,77,@,CLE,L,85,91,13,39,24,10,1,15,,8,37,26,13,4,15
78,78,,ORL,W,87,78,9,35,24,12,4,9,,13,45,9,5,2,19
79,79,,IND,L,105,114,10,33,18,7,4,7,,9,34,29,5,7,10
80,80,@,DET,L,79,87,16,43,22,9,3,10,,15,49,24,6,5,14
81,81,@,PHI,W,87,80,15,41,18,13,4,20,,10,35,19,10,8,20
82,82,,NYK,W,111,109,8,35,26,5,4,8,,11,38,31,5,3,11
