Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1996-11-01,,POR,L,85,114,34,77,.442,5,14,.357,12,19,.632,9,27,23,7,5,15,21,,45,86,.523,7,17,.412,17,27,.630,22,54,30,12,7,19,20
2,2,1996-11-03,,GSW,L,95,105,38,90,.422,8,22,.364,11,16,.688,16,44,30,13,8,15,25,,38,79,.481,8,19,.421,21,27,.778,12,48,21,7,5,22,14
3,3,1996-11-05,@,CHI,L,73,96,29,81,.358,8,18,.444,7,15,.467,15,37,16,7,4,20,19,,37,86,.430,7,20,.350,15,20,.750,21,56,26,10,8,19,18
4,4,1996-11-06,@,MIL,L,89,105,37,82,.451,1,10,.100,14,22,.636,14,35,20,9,1,22,27,,38,77,.494,2,11,.182,27,32,.844,14,44,24,10,5,21,23
5,5,1996-11-08,@,CLE,L,72,88,24,77,.312,2,10,.200,22,29,.759,16,41,17,9,4,14,17,,35,79,.443,8,21,.381,10,14,.714,15,49,24,8,6,18,22
6,6,1996-11-10,,NYK,L,82,101,27,76,.355,6,17,.353,22,28,.786,13,36,22,12,7,17,18,,42,82,.512,8,15,.533,9,14,.643,14,47,27,8,5,17,24
7,7,1996-11-12,,LAC,L,92,99,33,81,.407,8,16,.500,18,23,.783,11,47,25,11,10,17,28,,37,94,.394,4,18,.222,21,27,.778,16,52,25,11,8,15,27
8,8,1996-11-14,,PHO,W,92,89,37,88,.420,6,27,.222,12,16,.750,12,36,26,12,6,11,17,,34,82,.415,6,19,.316,15,19,.789,15,49,23,5,3,22,20
9,9,1996-11-15,@,UTA,L,96,104,39,89,.438,5,17,.294,13,21,.619,12,35,18,10,4,8,24,,41,78,.526,1,7,.143,21,30,.700,18,58,31,3,10,18,17
10,10,1996-11-17,@,SEA,L,81,91,30,75,.400,7,21,.333,14,17,.824,17,48,17,8,4,25,29,,31,77,.403,5,21,.238,24,33,.727,12,38,18,17,7,14,21
11,11,1996-11-18,,SAC,L,83,84,32,73,.438,6,15,.400,13,22,.591,11,31,24,6,5,12,19,,36,82,.439,0,9,.000,12,15,.800,23,50,19,5,2,15,24
