Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1997-10-31,@,CHH,W,97,85,36,69,.522,3,10,.300,22,34,.647,6,37,27,5,6,17,38,,26,70,.371,3,13,.231,30,44,.682,13,42,16,4,2,17,32
2,2,1997-11-02,,DET,L,86,94,32,74,.432,5,18,.278,17,24,.708,14,45,18,3,9,19,28,,31,70,.443,3,3,1.000,29,36,.806,9,28,14,14,2,9,21
3,3,1997-11-04,,BOS,W,102,70,33,68,.485,3,11,.273,33,43,.767,13,54,19,14,7,24,24,,27,77,.351,5,19,.263,11,16,.688,5,29,18,14,1,22,30
4,4,1997-11-06,@,PHO,W,105,75,43,89,.483,7,10,.700,12,16,.750,12,52,28,7,3,10,24,,28,79,.354,1,14,.071,18,25,.720,7,37,16,5,2,11,20
5,5,1997-11-07,@,LAL,L,94,99,32,78,.410,3,15,.200,27,29,.931,11,41,19,5,6,16,33,,31,75,.413,2,14,.143,35,47,.745,13,46,19,12,6,14,22
6,6,1997-11-09,@,SAC,L,78,86,35,78,.449,0,12,.000,8,18,.444,13,36,23,7,2,17,24,,30,79,.380,4,11,.364,22,27,.815,17,50,20,8,6,21,17
7,7,1997-11-11,,DEN,W,93,90,36,74,.486,5,16,.313,16,22,.727,12,39,28,13,7,19,21,,35,78,.449,3,9,.333,17,20,.850,13,36,17,9,1,19,20
8,8,1997-11-12,@,TOR,W,93,70,37,81,.457,3,13,.231,16,21,.762,14,45,27,9,6,17,18,,27,81,.333,3,14,.214,13,17,.765,14,38,17,11,10,19,22
9,9,1997-11-15,,SAC,W,114,87,41,75,.547,6,10,.600,26,28,.929,11,43,24,9,4,15,27,,34,75,.453,3,12,.250,16,26,.615,6,23,25,7,5,14,27
10,10,1997-11-18,@,HOU,L,84,95,28,76,.368,4,16,.250,24,31,.774,11,40,12,8,8,19,31,,28,72,.389,5,18,.278,34,40,.850,7,36,19,8,3,14,25
11,11,1997-11-20,@,ATL,W,100,79,44,84,.524,5,10,.500,7,15,.467,14,45,19,8,1,10,23,,28,75,.373,1,9,.111,22,26,.846,10,37,11,6,2,11,21
