Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1997-10-31,,SAS,L,96,107,36,85,.424,4,9,.444,20,26,.769,14,34,12,9,3,13,30,,40,74,.541,2,4,.500,25,38,.658,15,49,18,7,9,18,21
2,2,1997-11-01,@,UTA,L,84,102,32,81,.395,0,5,.000,20,30,.667,16,33,14,7,6,11,23,,38,84,.452,2,10,.200,24,32,.750,21,52,27,7,8,14,21
3,3,1997-11-04,,WAS,L,96,120,36,94,.383,0,5,.000,24,37,.649,22,54,11,7,1,14,29,,44,89,.494,5,11,.455,27,34,.794,11,46,33,6,7,11,24
4,4,1997-11-07,,UTA,L,89,91,31,81,.383,0,2,.000,27,33,.818,14,39,19,9,10,17,19,,36,69,.522,3,7,.429,16,22,.727,7,33,20,9,12,22,33
5,5,1997-11-11,@,NYK,L,90,93,35,78,.449,3,9,.333,17,20,.850,13,36,17,9,1,19,20,,36,74,.486,5,16,.313,16,22,.727,12,39,28,13,7,19,21
6,6,1997-11-12,@,BOS,L,86,96,29,68,.426,2,13,.154,26,33,.788,15,48,19,4,4,29,22,,34,91,.374,4,13,.308,24,27,.889,21,43,23,16,6,17,25
7,7,1997-11-14,@,ORL,L,85,103,33,77,.429,2,9,.222,17,24,.708,11,32,17,8,4,15,21,,41,78,.526,1,7,.143,20,28,.714,14,45,29,7,9,17,19
8,8,1997-11-15,@,MIA,L,93,96,29,70,.414,3,8,.375,32,37,.865,9,39,17,2,4,12,29,,34,75,.453,6,16,.375,22,33,.667,13,40,21,5,6,12,32
9,9,1997-11-18,,VAN,L,87,100,30,75,.400,4,8,.500,23,30,.767,17,42,18,7,7,13,25,,36,76,.474,6,12,.500,22,33,.667,12,39,25,6,5,14,22
10,10,1997-11-21,@,VAN,L,96,99,38,92,.413,4,15,.267,16,19,.842,13,51,18,5,7,11,25,,36,83,.434,4,11,.364,23,33,.697,10,43,28,5,5,9,17
11,11,1997-11-22,,SEA,L,80,84,34,77,.442,3,10,.300,9,16,.563,12,44,19,3,8,13,23,,31,81,.383,6,19,.316,16,20,.800,12,41,22,6,1,8,20
12,12,1997-11-25,@,SAC,L,93,97,37,79,.468,3,12,.250,16,25,.640,15,51,15,3,1,19,22,,39,79,.494,0,4,.000,19,30,.633,9,32,25,9,4,8,19
13,13,1997-11-28,,MIN,W,95,84,30,81,.370,3,7,.429,32,42,.762,15,49,12,3,2,7,23,,29,76,.382,1,9,.111,25,30,.833,10,47,17,4,7,14,32
